yn,id,cg,eg,re,ms,fw,cl,hw,ra,nc,se,ag,wc,ne,oc,dr
no,145587,1.75139764078368,e2,wto,kh,1.4212804,1.29916403379666,3.32,kvy,0.6,vrm,0.316233693171678,gf,jle,al,oi
no,66077,1.80938737457119,e2,wto,ls,1.083397,0,3.61,kvy,0.3,jtl,0.316233693171678,xv,ydq,al,oi
no,108534,1.73297560539753,e2,wto,im,0.95288878,1.35833462460462,3.61,gmp,0.9,vrm,0.316233693171678,xv,kcr,lr,oi
no,363948,1.6442034912262,e2,wto,kh,0.12301475,1.39267989076105,2.65,kvy,0.4,vrm,0.374163042929554,xv,ydq,lr,oi
no,51961,1.74164167061275,e2,pzv,kh,0.54492709,1.36659727481154,3.46,kvy,0.4,vrm,0.374163042929554,xv,ydq,al,oi
no,51660,1.9200828595662,e2,pzv,kh,5.0869137,1.39649010679394,2.83,kvy,0,vrm,0.424268256506693,pv,kcr,ey,oi
no,86314,1.68142151794763,e2,wto,im,11.993322,1.31858224382663,2.83,gmp,0.4,vrm,0.374163042929554,xv,ydq,lr,oi
no,498246,1.77858337324022,e2,wto,kh,0.72035192,1.38496403906439,3.32,kvy,0.3,vrm,0.374163042929554,xv,kcr,jz,oi
no,265337,1.6347868831845,e2,pzv,im,1.7470278,1.39432746911533,2.83,kvy,0.3,vrm,0.399999810107415,pv,ydq,jz,oi
no,113188,1.59842014274569,e2,wib,im,0.80721342,1.35566699066653,2.65,kvy,0.2,vrm,0.399999810107415,xv,jle,al,oi
no,152977,1.67574190559803,e2,pzv,ls,0.6765908,1.36659727481154,3.16,gmp,1.3,vrm,0.316233693171678,xv,kcr,al,oi
no,397728,1.67914032507563,e2,wib,yd,0.6240403,1.37442547314151,3,kvy,0.3,vrm,0.316072512997894,pv,jle,ey,oi
no,553108,1.73659171723148,e5,wto,kh,0.22015778,1.29443955220559,3.61,kvy,0.3,vrm,0.316233693171678,pv,kcr,al,qe
no,555839,1.5107590971033,e2,wto,ls,1.3867492,0,1,kvy,1.2,vrm,0.422013980029279,pv,jle,sb,oi
no,369261,1.66868798320154,e2,wto,im,0.2925596,1.3708045390152,2.83,gmp,0.6,vrm,0.399999810107415,xv,kcr,lr,qe
yes,195808,1.64640245241453,e2,pzv,hf,1.3801326,1.37682096419753,2.83,kvy,0.2,jtl,0.316233693171678,pv,ydq,pw,qe
no,197364,1.70548346299731,e2,wto,ow,1.160154,1.35833462460462,3.46,kvy,0.2,vrm,0.316233693171678,xv,ydq,sb,oi
no,523553,1.61786662311779,e2,pzv,yd,2.6940716,1.39750116090345,1,kvy,1,vrm,0.408404143265358,pv,jle,jl,oi
no,42716,1.67623580018692,e2,wto,lz,3.1334392,1.38613600886311,2.83,kvy,0,vrm,0.374163042929554,pv,jle,ey,oi
yes,180606,2.11972397659425,e6,wto,lz,4.9599602,1.39912027514093,3.61,kvy,0.5,vrm,0.447214229441579,pv,jle,lr,oi
yes,276917,1.75111066462955,e2,wto,kh,0.62983163,1.37947448834517,2.83,kvy,0.3,vrm,0.399999810107415,gf,jle,al,oi
no,579332,1.60010741095112,e2,wib,lz,0.41352184,1.36193971539775,3.32,kvy,0.5,vrm,0.316233693171678,pv,jle,jz,oi
no,221597,1.82888533892122,e2,pzv,lz,1.1371229,1.37947448834517,3.61,gmp,0.2,vrm,0.316233693171678,pv,ydq,ey,oi
no,118282,1.68114011605944,e2,pzv,kh,2.5376379,1.3687910327232,3.32,gmp,0.6,vrm,0.316233693171678,xv,ydq,lr,oi
no,302647,1.67444717105959,e2,wto,kh,3.4953176,1.36152336965101,3,gmp,0,vrm,0.316233693171678,pv,kcr,lr,oi
no,335318,1.93173557367019,e2,pzv,lz,0.4513998,1.33076174162489,3.74,kvy,0.2,vrm,0.374163042929554,xv,ydq,lr,oi
no,33575,1.83924889615851,e2,wto,lz,1.998734,1.32923559704322,3.74,kvy,0.4,vrm,0.399999810107415,xv,kcr,lr,qe
no,513277,1.68093296061858,e2,wib,im,0.78116816,1.40620761932421,2.65,kvy,0.7,vrm,0.447214229441579,li,kcr,ry,oi
no,343228,1.80124691767375,e2,wto,kh,0.26847737,1.35818205230067,3,kvy,0,vrm,0.447214229441579,pv,ydq,al,oi
no,240054,1.68814710233663,e2,wto,ow,2.066203,1.35833462460462,3.46,gmp,0,vrm,0.316233693171678,pv,kcr,al,qe
no,233783,1.86249887040028,e2,wto,lz,1.4507739,1.37455921891742,3.74,kvy,0.3,vrm,0.316233693171678,xv,jle,al,qe
yes,409367,1.8322415355275,e2,wto,lz,0.61627128,1.36633695861022,3.46,gmp,0.3,vrm,0.399999810107415,xv,rql,al,oi
no,421990,1.70147131400319,e2,wto,kh,1.1302473,1.37947448834517,3,tdg,0.8,vrm,0.316233693171678,xv,kcr,lr,qe
yes,79014,1.67184981234031,e8,wto,lz,0.15726457,1.36850751819221,2.83,gmp,0.7,vrm,0.399999810107415,pv,kcr,ey,oi
yes,327115,1.78245524906182,e8,ldi,kh,2.5958358,1.33046297883442,3.61,kvy,0.2,jtl,0.374163042929554,xv,kcr,al,oi
no,182636,1.86816515224196,e2,wto,im,1.822157,1.39344654819971,3.46,gmp,0.7,vrm,0.424268256506693,xv,ydq,lr,qe
no,334936,1.76411462542523,e2,ldi,kh,0.075484516,1.42307788206737,3.32,kvy,0.1,vrm,0.399754899933854,xv,ydq,al,oi
no,268364,1.62223549102396,e2,wib,im,2.7601244,1.34726648997435,3.16,kvy,0.4,vrm,0.316233693171678,xv,ydq,lr,oi
no,424661,1.6515302792078,e2,wto,ls,0.68894848,1.41291275754896,2.24,kvy,0.2,vrm,0.424268256506693,xv,ydq,al,qe
no,46141,1.704184267623,e2,wto,hf,0.31265236,1.38871426075343,3,ojk,0,vrm,0.374163042929554,pv,kcr,ey,oi
yes,292895,1.76547805775489,e2,pzv,lz,2.2046137,1.30332300655734,3.74,gmp,0.7,vrm,0.316233693171678,xv,jle,lr,oi
yes,247783,1.80651580431626,e4,wto,lz,1.4974747,1.38496403906439,3.46,kvy,0.1,vrm,0.374163042929554,xv,ydq,al,qe
no,162900,1.8907322138835,e2,wto,kh,0.33646926,1.38209457532609,3.16,gmp,0.6,vrm,0.374163042929554,xv,jle,lr,oi
no,148396,1.66479720079505,e2,wto,kh,5.4504497,1.35071604368848,3.32,kvy,0.2,vrm,0.316233693171678,pv,rql,al,oi
yes,504407,1.86586943708732,e6,wto,im,1.9046872,1.3788221115358,3.16,kvy,1.6,vrm,0.374163042929554,xv,jle,lr,oi
no,422388,1.56950594617079,e2,wib,hf,4.7279513,1.30165286227764,2.65,kvy,0.5,vrm,0.316233693171678,xv,kcr,wg,oi
no,409561,1.75556608269092,e2,wto,yd,0.60736151,1.36633695861022,3.16,kvy,0.3,vrm,0.399999810107415,pv,ydq,ey,oi
no,537428,1.89725210252652,e2,pzv,ls,1.6986413,1.33615336831498,3.16,kvy,1.1,vrm,0.387290745222102,xv,jle,lr,oi
yes,299485,2.14929181690564,e6,wto,kh,0.61317189,1.35356244766336,3.74,kvy,0,vrm,0.424268256506693,xv,kcr,al,oi
no,71882,1.66023432905578,e2,wto,im,3.0205316,1.36152336965101,2.65,kvy,0,vrm,0.316233693171678,xv,jle,al,oi
no,164365,1.78674384579223,e2,pzv,lz,1.1073237,1.35833462460462,3.61,gmp,0,vrm,0.316233693171678,pv,ydq,jz,oi
yes,278783,2.37385655226765,e2,pzv,lz,4.7318123,1.49497742788669,3.61,kvy,0.2,vrm,0.529146781431295,gf,jle,lr,qe
no,25260,1.55266722312714,e2,pzv,lz,1.5779841,1.3687910327232,1.73,kvy,0.1,vrm,0.3155872226109,xv,ydq,al,oi
no,415205,1.86332784528349,e2,pzv,lz,1.2907719,1.43069371975862,3.16,kvy,0.2,vrm,0.447214229441579,gf,ydq,al,qe
no,49634,1.64662304603437,e2,wto,hf,3.6135879,1.327862629705,1.41,kvy,0.3,vrm,0.39937810198432,xv,jle,wg,oi
no,432968,1.68842491633151,e2,wto,hf,0.83264562,1.40249057967174,2.24,kvy,0.2,vrm,0.445862939186411,gf,ydq,jz,oi
no,18292,1.72186530353668,e2,wto,im,0.047116794,1.33911357560023,2.83,kvy,0.3,vrm,0.447214229441579,xv,ydq,al,oi
no,503407,1.82020162030729,e2,wto,im,1.5020038,1.40743963312431,2.83,tdg,0.5,vrm,0.399999810107415,pv,ydq,ey,oi
yes,44872,2.10123542560162,e1,pzv,lz,1.2679798,1.33615336831498,3.61,gmp,0.9,vrm,0.387290745222102,xv,ydq,lr,oi
yes,87395,2.47560580177628,e2,wto,ay,0.35100567,1.37947448834517,3.74,kvy,1.1,jtl,0.447214229441579,xv,ydq,al,oi
yes,101742,1.66086814512638,e2,wto,ow,1.3249275,1.36193971539775,3.16,kvy,0.2,vrm,0.316233693171678,pv,kcr,al,qe
no,336183,1.7655844058794,e2,wto,ls,4.2871331,1.41592415862057,2.65,kvy,0.5,vrm,0.424268256506693,xv,jle,lr,oi
no,502514,1.57711952042737,e2,wib,hf,1.6402772,1.3976122635593,1,gmp,0.2,vrm,0.42378636625611,xv,ydq,lr,oi
yes,177202,2.15652118468794,e2,wto,kh,0.61932203,1.4144798679856,3.16,kvy,0.4,jtl,0.515366919208165,xv,kcr,lr,oi
no,469894,1.58119952063582,e2,pzv,lz,1.2586664,1.37349274098506,1.73,kvy,0.3,vrm,0.316233693171678,pv,ydq,jl,oi
no,436789,1.99559250539225,e2,wto,lz,0.30902966,1.38340555440768,3.74,kvy,0,vrm,0.399999810107415,xv,jle,lr,qe
yes,50870,2.20800065309617,e2,wto,kh,1.0978432,1.44441013218667,3.32,kvy,0.5,vrm,0.447214229441579,pv,ydq,ey,qe
yes,355740,1.6201686078611,e2,wto,kh,3.4205446,1.42603734212167,2,gmp,0.2,jtl,0.424268256506693,pv,jle,lr,oi
no,13860,1.76083169756135,e2,pzv,ls,2.6404569,1.32480702233167,3.16,gmp,1.6,vrm,0.374163042929554,pv,ydq,lr,oi
yes,154331,1.62518994604607,e2,pzv,lz,1.0509327,1.3687910327232,3,gmp,0.3,vrm,0.316233693171678,pv,ydq,ey,oi
yes,251910,1.8561898972014,e2,wto,lz,1.2536811,0,3.74,kvy,0.3,vrm,0.374163042929554,gf,kcr,lr,qe
no,204999,1.76209292586733,e2,ldi,im,1.3656684,1.39077457234884,3.61,kvy,0.3,vrm,0.374163042929554,pv,jle,ey,qe
no,342697,1.76707359030355,e2,pzv,ay,1.9124261,1.4,2.65,kvy,0,vrm,0.399999810107415,pv,jle,jl,oi
no,35000,1.8951121644713,e2,pzv,lz,3.4118735,1.39432746911533,3.61,kvy,0.2,vrm,0.399999810107415,xv,ydq,al,oi
no,500792,1.67895728958958,e2,wto,im,3.0153141,1.36152336965101,3.16,gmp,0.3,vrm,0.316233693171678,xv,ydq,al,oi
yes,291970,1.70823449563035,e2,ldi,lz,0.55777835,1.42952686465209,2.65,kvy,0.3,vrm,0.424268256506693,xv,kcr,rk,oi
no,252227,1.61227817254208,e2,wib,im,2.9524338,1.30707373735466,3,gmp,0.3,vrm,0.316233693171678,xv,ydq,lr,oi
no,193321,1.70922614604167,e2,wto,ow,3.0746234,1.28878200035278,3.61,tdg,0.5,vrm,0.316233693171678,xv,rql,lr,oi
yes,458429,2.70751763969324,e8,wto,kh,0.026862791,1.39863060165914,3.61,kvy,0.3,vrm,0.591602217232959,pv,jle,lr,oi
no,369488,2.90896106925061,e2,ldi,im,1.4948837,1.41784695425255,3.46,kvy,0.2,vrm,0.78740395144782,xv,kcr,wg,oi
no,214302,1.63616367400626,e2,wto,lz,2.058251,1.37442547314151,2.45,gmp,0,vrm,0.316233693171678,xv,ydq,lr,oi
no,539957,1.83705514973195,e2,wto,ow,0.14136672,1.42461583462682,3.16,kvy,0.3,vrm,0.447214229441579,xv,ydq,lr,oi
no,528953,1.66243109580826,e2,pzv,ow,0.22527305,1.328638048868,2.65,kvy,0.5,vrm,0.424268256506693,xv,kcr,al,qe
no,376246,1.63248139355284,e2,wto,im,2.4812707,1.37442547314151,2.45,gmp,0.3,vrm,0.316072512997894,li,kcr,al,oi
yes,160824,1.75560712434281,e8,ldi,kh,1.0918788,1.319376421322,3.32,kvy,0.2,vrm,0.399754899933854,pv,kcr,lr,oi
no,45913,1.79519423765549,e2,wto,kh,1.1800761,1.36743077068697,3.32,kvy,0,vrm,0.316233693171678,xv,ydq,lr,oi
no,329760,1.62828518359712,e2,wto,im,0.85427383,1.36850751819221,2,kvy,0.5,vrm,0.399754899933854,xv,jle,al,oi
no,349197,1.79044682035264,e2,wto,ls,3.0747438,1.41291275754896,3.32,kvy,0.5,vrm,0.374163042929554,xv,kcr,lr,oi
no,442778,1.42588258686685,e2,wto,kh,1.3889706,1.36124185323127,0,kvy,0.3,vrm,0.315273434026044,xv,kcr,lr,oi
no,259994,1.69735239628083,e2,wto,im,0.95597932,1.37013145801966,3,kvy,0.2,jtl,0.316233693171678,xv,jle,ey,qe
no,161209,1.7132413945491,e2,wto,ow,2.245416,0,3.46,kvy,0.2,vrm,0.316233693171678,xv,ydq,pw,oi
yes,263343,2.19203046711338,e2,pzv,ow,2.3438845,1.35860887939993,3.74,tdg,0.2,jtl,0.424268256506693,gf,kcr,lr,qe
yes,590923,2.01055082081254,e2,wto,kh,3.2097606,1.43830019779288,3.46,kvy,1.1,vrm,0.424268256506693,xv,kcr,lr,oi
no,571452,1.75338763604593,e2,wib,kh,3.8129513,1.37455921891742,3.32,kvy,0.3,vrm,0.316233693171678,xv,kcr,lr,qe
no,422895,1.67814328606659,e2,wto,kh,1.0331897,1.37442547314151,3,ojk,0.7,vrm,0.316072512997894,xv,ydq,lr,oi
no,321799,1.81975517664228,e2,wto,im,0.23521221,1.34249303370383,2.83,gmp,0.2,vrm,0.399999810107415,xv,jle,lr,oi
yes,36798,1.69970730632767,e4,wto,ay,2.3534305,1.29443955220559,3.32,kvy,0.6,vrm,0.316233693171678,xv,ydq,lr,oi
no,324773,1.70008873812989,e2,ldi,yd,1.6042485,1.35985515194495,3.61,kvy,0.2,vrm,0.316233693171678,pv,ydq,ey,oi
no,76718,1.67499761807789,e2,pzv,im,2.6071064,1.3687910327232,3.32,kvy,0.5,vrm,0.316233693171678,pv,kcr,ey,oi
no,515069,1.82346550364023,e2,wto,im,0.6786422,1.40620761932421,3.32,kvy,0.2,vrm,0.447214229441579,xv,kcr,rk,oi
yes,119139,1.73883264024089,e4,wto,lz,1.2453144,1.30967676209897,3.46,kvy,0.4,vrm,0.399999810107415,xv,ydq,lr,qe
yes,339432,1.88384038193679,e2,pzv,im,3.5203669,1.32755790370472,3.46,kvy,0.2,vrm,0.374163042929554,pv,ydq,al,qe
yes,312392,1.98673108695767,e2,wto,im,2.3929008,1.32419426626915,3.74,kvy,1.3,vrm,0.399999810107415,xv,jle,lr,oi
no,539067,1.62977467331923,e2,wto,ow,0.65273058,1.33392572782737,1.73,kvy,0.3,vrm,0.445419005930011,xv,kcr,al,oi
yes,173266,1.82759552519963,e2,wto,im,1.8665664,1.327862629705,3.46,gmp,0.6,jtl,0.374163042929554,xv,jle,jz,oi
no,514578,1.66117851974213,e2,wto,ow,0.75151252,1.30033749744275,2.83,kvy,0,vrm,0.399999810107415,xv,kcr,lr,oi
no,107852,1.67863620019159,e2,pzv,im,3.5483779,1.36659727481154,3.16,kvy,0.3,vrm,0.374163042929554,xv,jle,al,qe
yes,122244,2.23478896231664,e2,pzv,yd,0.16472312,1.35972133817128,3.74,kvy,0.6,jtl,0.447214229441579,xv,ydq,lr,oi
no,482010,1.9300619616384,e2,wto,kh,0.43741226,1.3455517233581,3.61,kvy,0.3,vrm,0.424268256506693,xv,kcr,rk,qe
no,98801,1.72293865100342,e2,pzv,im,1.7273089,1.39585930832332,2,kvy,0.2,vrm,0.424268256506693,xv,ydq,lr,oi
yes,556209,1.73262044225257,e2,pzv,lz,1.7126004,1.32016193420869,3.46,kvy,0.4,jtl,0.316233693171678,xv,ydq,lr,qe
no,493609,1.69187248713016,e2,pzv,kh,2.0684837,1.39432746911533,3.46,kvy,0.2,vrm,0.316233693171678,pv,ydq,ey,oi
no,307633,2.30531745598538,e3,wto,kh,1.9396375,0,3.61,kvy,0.4,jtl,0.489900191478104,xv,kcr,lr,oi
no,321029,1.56628739392414,e2,pzv,lz,5.1005112,1.37349274098506,1.41,kvy,0,vrm,0.316233693171678,xv,jle,al,oi
no,588733,1.70426982519095,e2,pzv,kh,2.579052,1.37682096419753,3.32,kvy,0.2,vrm,0.316233693171678,pv,ydq,ey,oi
no,353006,1.61417788990292,e2,wto,lz,2.4668363,1.32046917387133,2.83,gmp,0.5,vrm,0.374163042929554,xv,kcr,al,oi
no,333255,1.69280165312064,e5,wto,im,3.2762308,1.39750116090345,2.65,kvy,0.2,vrm,0.374163042929554,xv,ydq,lr,oi
no,118156,1.71463260193056,e2,wib,yd,2.68832,1.30707373735466,3.61,kvy,1.3,vrm,0.316233693171678,pv,rql,lr,qe
yes,335993,2.25329251590118,e2,pzv,ls,0.52158981,1.3255807431825,3.74,kvy,0,vrm,0.447214229441579,xv,kcr,lr,oi
no,152434,1.71947851422562,e5,wib,lz,0.84780624,1.36152336965101,3.61,kvy,0,vrm,0.316233693171678,xv,kcr,al,qe
no,48792,1.68275410972158,e2,wto,lz,0.41773214,1.38871426075343,3,kvy,0.3,vrm,0.374163042929554,pv,ydq,ey,oi
no,138020,1.51675574090779,e2,wto,lz,1.761474,1.36674564363031,1,kvy,0.4,vrm,0.360547810422435,xv,ydq,al,qe
no,157248,1.65801197474451,e2,wib,kh,0.024306827,1.35212910384574,3.61,kvy,0.1,vrm,0.316233693171678,xv,kcr,al,qe
yes,205403,1.65575662798579,e2,wto,im,0.92930869,1.30165286227764,3,gmp,1.3,vrm,0.316233693171678,xv,ydq,lr,oi
no,533040,1.51467088362032,e3,wib,lz,3.3591567,1.35566699066653,2,gmp,0.4,vrm,0.316072512997894,xv,jle,sb,oi
yes,257249,1.79187142869683,e2,pzv,hf,1.7217693,1.37161139655227,3.46,kvy,0.4,jtl,0.374163042929554,pv,ydq,pw,oi
yes,355323,2.21926718859237,e2,pzv,ay,0.082111444,1.43496586981602,3.61,tdg,1.2,vrm,0.424268256506693,pv,ydq,jz,oi
no,211801,1.66483405607835,e2,wto,kh,2.3155694,1.37442547314151,2.83,kvy,0,vrm,0.316072512997894,xv,ydq,jz,qe
yes,288319,2.04822190476966,e2,wto,im,0.62090863,1.35721263992771,3.61,gmp,0.6,vrm,0.447214229441579,xv,kcr,lr,oi
no,252204,1.685992398245,e2,wto,ow,2.6078323,1.3708045390152,2.83,ojk,0,vrm,0.399999810107415,pv,kcr,ey,oi
yes,170185,2.51950478918235,e2,wto,im,4.2097544,1.45879322144649,3.46,kvy,1.3,jtl,0.591602217232959,xv,ydq,lr,oi
yes,591677,1.62177215853936,e6,wib,ls,0.052102024,1.36193971539775,2.83,gmp,0.5,vrm,0.316233693171678,pv,jle,ey,oi
no,435004,1.74967264175832,e2,pzv,im,0.21688914,1.38145354219017,3,kvy,0.2,vrm,0.374163042929554,xv,ydq,al,oi
no,575698,1.6988403954854,e2,wto,im,0.32679592,1.29916403379666,3.32,kvy,0.2,vrm,0.316233693171678,pv,jle,al,oi
no,477551,1.91402292532988,e6,wto,lz,7.7009976,1.33015733353203,3.61,gmp,0.4,vrm,0.374163042929554,gf,ydq,lr,oi
yes,277025,1.67057081628436,e2,wib,lz,1.0920623,1.37442547314151,2.83,tdg,1.3,vrm,0.316072512997894,pv,kcr,ey,oi
no,250207,1.70474579067851,e2,wto,lz,1.150975,1.41291275754896,2.45,kvy,0.3,vrm,0.424268256506693,pv,kcr,ey,qe
no,514929,1.60845943811974,e2,pzv,hf,1.7479167,1.38079052238892,2.83,gmp,0.2,vrm,0.316233693171678,pv,rql,lr,qe
no,122666,1.69938954083622,e2,pzv,kh,0.11193198,1.31144630096247,3,kvy,0.2,vrm,0.316233693171678,pv,kcr,rk,qe
yes,6919,1.87789724402813,e6,ldi,kh,2.4379129,1.33046297883442,3.61,kvy,0.6,vrm,0.374163042929554,xv,rql,lr,oi
no,516829,1.65827647569249,e2,wib,ow,2.0882685,1.37013145801966,2.83,kvy,0,vrm,0.316233693171678,pv,kcr,ey,oi
no,530132,1.63227263954501,e2,pzv,kh,0.89231666,1.3924303524012,2.45,gmp,1.3,vrm,0.316233693171678,pv,jle,ey,oi
no,506211,1.79878576672123,e2,wto,lz,0.08188887,1.38261416296948,2.83,kvy,0,vrm,0.399999810107415,xv,kcr,al,oi
no,418642,1.69872489235751,e2,wto,ls,0.017295151,1.36152336965101,3.16,kvy,0.2,vrm,0.316233693171678,pv,rql,ey,oi
yes,322472,1.97450773803357,e2,pzv,ls,5.5531374,1.4,3.32,gmp,1.3,vrm,0.424268256506693,xv,kcr,lr,oi
no,72053,1.91344512581925,e2,wto,ow,2.0961161,1.39750116090345,3.32,kvy,0.3,vrm,0.399999810107415,xv,ydq,lr,qe
yes,579115,1.71609752863226,e2,pzv,kh,1.3298094,1.38742752041322,3,kvy,0.5,vrm,0.374163042929554,xv,kcr,lr,qe
no,250882,1.84119712699537,e2,wto,lz,1.0831447,1.29916403379666,3.61,gmp,0,vrm,0.316233693171678,pv,jle,al,oi
yes,443173,1.82030454236671,e2,ldi,im,2.2555161,1.41892108952124,3.32,kvy,0.3,vrm,0.374163042929554,xv,jle,al,oi
no,61034,1.81938536505085,e2,wto,lz,2.1267874,1.29916403379666,3.74,gmp,0.2,vrm,0.316233693171678,xv,ydq,lr,oi
no,314045,1.88637375099407,e2,wto,yd,0.48582644,1.43473425735804,3,gmp,0.9,vrm,0.424268256506693,pv,kcr,qt,oi
yes,313694,2.34613427057745,e2,pzv,ay,0.28618249,1.47433567651741,3.61,kvy,0,vrm,0.500000249938842,pv,rql,jz,oi
no,232617,1.94041813423503,e2,pzv,lz,2.7726522,1.38508914756918,3.61,kvy,0.2,vrm,0.374163042929554,pv,rql,ey,oi
no,307025,1.70947257369066,e2,wto,im,2.9354986,1.3708045390152,3,kvy,0.4,vrm,0.399999810107415,pv,ydq,ey,oi
no,527119,1.76476388750784,e2,wto,lz,1.7985226,1.39077457234884,3.61,kvy,0.2,vrm,0.374163042929554,xv,ydq,al,oi
yes,423919,1.75070943247061,e2,pzv,kh,1.8680463,1.36659727481154,3.46,kvy,0.3,vrm,0.374163042929554,xv,ydq,lr,oi
no,41290,1.67528730167365,e2,wto,lz,1.2142802,1.36152336965101,3.16,gmp,0.2,vrm,0.316233693171678,xv,ydq,al,qe
yes,299987,1.9170758677525,e2,wto,lz,0.73441726,1.38261416296948,3.46,kvy,0.1,vrm,0.399999810107415,xv,ydq,al,qe
no,440111,1.99723619499321,e2,ldi,ls,0.13522608,1.33615336831498,3.61,kvy,0.2,vrm,0.374163042929554,xv,kcr,lr,qe
yes,132281,1.83715236157996,e2,wto,im,5.0858016,1.29833500621775,3.74,kvy,0.2,vrm,0.360547810422435,xv,jle,al,oi
yes,356423,2.43118207361636,e2,wto,ow,2.6642762,0,3.74,kvy,1.3,vrm,0.489900191478104,xv,kcr,al,oi
no,193278,1.74034896817705,e2,wto,lz,2.3959751,1.40743963312431,2.65,kvy,0.3,vrm,0.399999810107415,xv,jle,al,oi
no,246592,1.7552134871198,e2,pzv,kh,0.038379692,1.35985515194495,3.61,kvy,1.4,vrm,0.316233693171678,pv,jle,ey,oi
yes,193421,1.81711800623514,e2,pzv,lz,0.44481312,1.32480702233167,3.61,kvy,0,vrm,0.316233693171678,xv,ydq,al,oi
no,277905,1.85650020650919,e2,pzv,lz,2.4206657,1.38483381104017,3.46,kvy,0.2,vrm,0.399999810107415,pv,jle,ey,oi
no,109466,1.4650010133638,e2,wto,lz,0.28080835,1.28878200035278,1.73,kvy,0.2,vrm,0.316072512997894,xv,kcr,wg,oi
no,37885,1.67489783101366,e2,ldi,lz,0.27823445,1.41023483560115,2.83,kvy,0.1,vrm,0.399999810107415,xv,rql,al,oi
no,330692,1.9153305909744,e2,pzv,lz,0.41505487,1.319376421322,3.74,kvy,0.5,vrm,0.387290745222102,xv,jle,lr,oi
no,446708,1.81136404746554,e2,wto,yd,0.15271602,1.36850751819221,3.61,kvy,0.4,vrm,0.399999810107415,pv,ydq,ey,oi
no,52567,1.71724157652519,e2,pzv,kh,2.9239727,1.30332300655734,3.61,kvy,0,vrm,0.316233693171678,xv,ydq,lr,oi
no,467659,1.67714496550505,e2,wto,kh,0.72976404,1.38859620759547,2.83,gmp,0.3,vrm,0.316233693171678,xv,ydq,lr,qe
no,567819,1.67031363515076,e2,wto,ow,1.7849364,1.41291275754896,2.24,gmp,0.6,vrm,0.424268256506693,xv,ydq,lr,oi
no,125311,1.54576397864586,e2,wib,ow,1.1864952,1.36400431446099,2.24,gmp,0.8,vrm,0.316072512997894,pv,rql,jz,oi
no,170901,1.60256661622344,e2,wto,lz,1.5446296,1.38871426075343,2.45,gmp,0.4,vrm,0.316233693171678,pv,ydq,ey,oi
yes,235672,2.10516062116501,e2,pzv,kh,2.7290364,1.4,3.46,kvy,1.3,vrm,0.447214229441579,xv,jle,lr,oi
no,473511,1.76327018732095,e2,pzv,yd,0.14329758,1.37549260872163,3.46,kvy,0,vrm,0.316233693171678,pv,ydq,ey,oi
yes,249547,2.03539915983387,e2,pzv,lz,1.9902974,0,3.61,gmp,0.4,jtl,0.424268256506693,gf,rql,lr,oi
yes,227080,2.15139054049868,e1,wto,lz,1.6366451,1.42130792671633,3.16,gmp,0.4,vrm,0.424268256506693,xv,ydq,jz,oi
